snapshot,0
2050-01-03/2050-01-09,1323.4889233448373
2050-01-10/2050-01-16,1374.5771451774892
2050-01-17/2050-01-23,1293.288778837621
2050-01-24/2050-01-30,1345.8611180147097
2050-01-31/2050-02-06,1339.359671221246
2050-02-07/2050-02-13,1456.4985804581042
2050-02-14/2050-02-20,1482.349667935346
2050-02-21/2050-02-27,1462.666810122057
2050-02-28/2050-03-06,1471.0276354583852
2050-03-07/2050-03-13,1476.0481128507577
2050-03-14/2050-03-20,1395.8320925380656
2050-03-21/2050-03-27,1322.7552290714393
2050-03-28/2050-04-03,1514.003282527919
2050-04-04/2050-04-10,1475.2503375437027
2050-04-11/2050-04-17,1520.7977625993049
2050-04-18/2050-04-24,1495.9122151322047
2050-04-25/2050-05-01,1347.8544748715085
2050-05-02/2050-05-08,1451.9429001658527
2050-05-09/2050-05-15,1386.4575696411966
2050-05-16/2050-05-22,1478.3320195115796
2050-05-23/2050-05-29,1488.252400329989
2050-05-30/2050-06-05,1306.0987487283767
2050-06-06/2050-06-12,1335.2723283108066
2050-06-13/2050-06-19,1402.5269595148216
2050-06-20/2050-06-26,1312.9196599107843
2050-06-27/2050-07-03,1301.751547667797
2050-07-04/2050-07-10,1337.6846381545884
2050-07-11/2050-07-17,1341.4153901135508
2050-07-18/2050-07-24,1349.7628770853314
2050-07-25/2050-07-31,1332.9248109467821
2050-08-01/2050-08-07,1496.0013481974515
2050-08-08/2050-08-14,1300.2898112604842
2050-08-15/2050-08-21,1242.7894079085536
2050-08-22/2050-08-28,1327.7669923672552
2050-08-29/2050-09-04,1327.905523293874
2050-09-05/2050-09-11,1278.3920733377204
2050-09-12/2050-09-18,1286.8984002529448
2050-09-19/2050-09-25,1229.3597944204853
2050-09-26/2050-10-02,1214.6851626737398
2050-10-03/2050-10-09,1351.298232637488
2050-10-10/2050-10-16,1265.2143507902854
2050-10-17/2050-10-23,1241.8802244823216
2050-10-24/2050-10-30,1198.4198450278386
2050-10-31/2050-11-06,1286.70540127643
2050-11-07/2050-11-13,1192.2392406372505
2050-11-14/2050-11-20,1364.8483796931462
2050-11-21/2050-11-27,1399.6067514942447
2050-11-28/2050-12-04,1217.8849482145501
2050-12-05/2050-12-11,1252.486204591267
2050-12-12/2050-12-18,1418.7946453141085
2050-12-19/2050-12-25,1381.659487154113
2050-12-26/2051-01-01,1068.3602643629297
